ID,Easting,Northing,Elevation
450150689,582677.0,4858580.0,381.0
450150696,587172.0,4860074.0,268.0
450150709,583709.0,4862371.0,193.0
450150717,585086.0,4861610.999999999,261.0
450150722,584426.0,4858331.0,401.0
450150727,584681.0,4857817.0,427.0
450150728,583427.0,4861079.0,230.0
450150729,583176.0,4860328.0,275.0
450150734,585927.0,4860085.000000001,311.0
450150736,584172.0,4861084.0,316.0
450150737,585663.0,4860317.0,329.0
450150742,583177.0,4857330.0,400.0
450150868,583643.0,4861851.0,210.0
450150872,584704.0,4861581.0,283.0
450150874,585428.0,4858081.0,370.0
450150876,583678.0,4857829.0,340.0
450150882,586657.0,4860782.0,272.0
450150883,585419.0,4860336.000000001,386.0
450150889,587933.0,4859814.0,274.0
450150890,582937.0,4861866.999999999,197.0
450150895,585426.0,4858581.000000001,417.0
450150904,584676.0,4860081.0,472.0
450150905,584675.0,4858593.0,441.0
450150908,584180.0,4860324.0,352.0
450150912,586476.0,4860791.0,278.0
450150916,584931.0,4859596.0,407.0
450150918,582436.0,4858090.999999999,383.0
450150919,585422.0,4859089.0,379.0
450150922,583923.0,4858086.0,337.0
450150923,585177.0,4862838.0,188.0
450150925,582680.0,4859335.0,321.0
450150928,583186.0,4861317.0,216.0
450150932,584655.0,4862768.000000001,189.0
450150933,584930.0,4858564.0,435.0
450150938,584699.0,4862090.0,244.0
450150946,584427.0,4859081.0,433.0
450150951,585176.0,4858089.0,394.0
450150969,583176.0,4858081.0,384.0
450150972,584424.0,4859330.0,384.0
450150997,584427.0,4861082.0,354.0
450151019,587424.0,4859580.0,332.0
450151021,585672.0,4860826.0,332.0
450151026,583926.0,4858330.0,354.0
450151031,587671.0,4859833.0,306.0
450151034,586932.0,4861087.0,265.0
450151036,583122.0,4862337.0,194.0
450151052,582425.0,4859582.0,371.0
450151065,586425.0,4859828.0,287.0
450151068,585221.0,4861014.0,329.0
450151137,584176.0,4859832.0,380.0
450151154,583676.0,4859830.0,290.0
450151157,583923.0,4861829.0,222.0
450151165,583675.0,4857581.0,359.0
450151166,584938.0,4860338.0,413.0
450151169,583918.0,4861061.0,298.0
450151172,585613.0,4860001.0,347.0
450151173,584940.0,4861839.999999999,275.0
450151195,584935.0,4860059.0,408.0
450151196,583432.0,4861813.000000001,203.0
450151197,584200.0,4862865.0,188.0
